tweet_id	begin	end	type	umls_id	extraction	drug	tweet	other	meddra_code	meddra_LLTerm
332317478170546176	31	40	ADR	c0020517	allergies	avelox	"do you have any medication allergies? ""asthma!!!"" me: ""........"" pt: ""no wait. avelox, that's it!"" ""so no other allergies?"" ""right!"" *cont"	1	10013661	drug allergy											
347806215776116737	33	48	ADR	c0151763	HURT YOUR Liver	avelox	"@ashleylvivian if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs"	0	10024668	liver damage											
350336129817509888	47	49	ADR	c0041671	AD	baclofen	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."	1	10003731	attention deficit disorder											
350336129817509888	86	91	ADR	c0235198	focus	baclofen	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."	1	10003738	attention impairment											
332540699692130304	11	15	ADR	c1306577	died	cipro	pt of mine died from cipro rt @ciproispoison: @gastromom if only more doctors thought like you! i lost my entire life to 12 cipro pills	1	10011906	death											
332542581760204800	41	45	ADR	c1306577	died	cipro	"@gastromom the only pt of mine who ever died was one age 21 profound autism chronic underwt &amp; gi issues, given lots of cipro. terrible"	1	10011906	death											
343944308828811264	67	80	ADR	c0039504	tendon damage	cipro	owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.	1	10043242	tendon injury											
346700255829561344	117	121	Indication	c0231218	sick	cipro	@deadfanclub @danadelany i have a penicillin/ keflex allergy so my dr writes me 10 days of zpack or i'd still be sick too! sometimes cipro	2	10016365	feeling sick											
346700255829561344	36	46	Drug	null	penicillin	cipro	@deadfanclub @danadelany i have a penicillin/ keflex allergy so my dr writes me 10 days of zpack or i'd still be sick too! sometimes cipro	2													
348120419921952770	30	38	Drug	null	immodium	cipro	@joshuagates you forgot the immodium for when the cipro kills all the good bacteria. :) #travelskills	2													
348644040444637184	16	26	Drug	null	Robitussin	cipro	@bilgeebiri oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.	2													
348644040444637184	27	33	ADR	c0234458	dreams	Robitussin	@bilgeebiri oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.	1	10004969	bizarre dreams											
352217412046823425	92	106	ADR	c0151937	tendon rupture	cipro	#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?	1	10043248	tendon rupture											
