tweet_id	begin	end	type	umls_id	extraction	drug	tweet	other	meddra_code	meddra_LLTerm
326376825590779905	37	55	INDICATION	c0005587	bipolar depression	lamictal	do u know what medications are r for bipolar depression? currently #fda approved lamotrigine aka #lamictal	2	10004936	bipolar depression									
326406322323066883	111	117	ADR	c0857486	zombie	olanzapine	thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin	1	10016384	felt like a zombie									
326406322323066883	45	71	ADR	c0456820	feel like crying but can't	olanzapine	thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin	1	10011469	crying									
326455480891346947	108	122	ADR	c0522245	hot &amp; cold	venlafaxine	5hrs sleep last night but stayed awake today. lethargic &amp; low still. in bed &amp; can feel myself going hot &amp; cold :(  #venlafaxine #day7	1	10016335	feeling hot and cold									
326455480891346947	46	55	ADR	c0920289	Lethargic	venlafaxine	5hrs sleep last night but stayed awake today. lethargic &amp; low still. in bed &amp; can feel myself going hot &amp; cold :(  #venlafaxine #day7	1	10024262	lethargic									
326456822007492608	120	128	INDICATION	c1963237	sleeping	trazodone	my urologist today said that trazodone can cause priapism. which is an erection lasting 4 hours. i will never take that sleeping pill again	2	10041008	sleep problem									
326496283516882944	114	121	INDICATION	c0005586	bipolar	lamotrigine	medical professionals on my feed...any thing i need to know about this med: lamotrigine. it's being used to treat bipolar teen.	2	10057667	bipolar disorder									
326596903791902720	36	41	ADR	c0917801	sleep	ofloxacin	ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?	1	10041017	sleeplessness									
326596903791902720	52	77	ADR	c0344375	stomach is a cement mixer	ofloxacin	ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?	1	10042113	stomach pain									
326776808097861632	111	118	INDICATION	c0005586	Bipolar	quetiapine	end of day 2 -much better but still upping dosage -lets hope for more movement tomor! #newmeds #meantalhealth #bipolar #quetiapine	2	10057667	bipolar disorder									
326789014290055168	26	32	ADR	c0020175	hungry	olanzapine	@dopamine_diva q makes me hungry. olanzapine made me want to eat my own arm!	1	10020466	hunger									
326789014290055168	53	75	ADR	c0235119	want to eat my own arm	olanzapine	@dopamine_diva q makes me hungry. olanzapine made me want to eat my own arm!	1	10020466	hunger									
