tweet_id	begin	end	type	extraction	drug	tweet	meddra_code	meddra_term
332317478170546176	28	37	ADR	allergies	avelox	"do you have any medication allergies? ""asthma!!!"" me: ""........"" pt: ""no wait. avelox, that's it!"" ""so no other allergies?"" ""right!"" *cont"	10013661	drug allergy
347806215776116737	31	46	ADR	HURT YOUR Liver	avelox	"@ashleylvivian if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs"	10024668	liver damage
350336129817509888	48	50	ADR	AD	baclofen	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."	10003731	attention deficit disorder
350336129817509888	88	93	ADR	focus	baclofen	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."	10003738	attention impairment
332540699692130304	11	15	ADR	died	cipro	pt of mine died from cipro rt @ciproispoison: @gastromom if only more doctors thought like you! i lost my entire life to 12 cipro pills	10011906	death
332542581760204800	41	45	ADR	died	cipro	"@gastromom the only pt of mine who ever died was one age 21 profound autism chronic underwt &amp; gi issues, given lots of cipro. terrible"	10011906	death
343944308828811264	66	79	ADR	tendon damage	cipro	owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.	10043242	tendon injury
346700255829561344					cipro	@deadfanclub @danadelany i have a penicillin/ keflex allergy so my dr writes me 10 days of zpack or i'd still be sick too! sometimes cipro		
346700255829561344					cipro	@deadfanclub @danadelany i have a penicillin/ keflex allergy so my dr writes me 10 days of zpack or i'd still be sick too! sometimes cipro		
348120419921952770					cipro	@joshuagates you forgot the immodium for when the cipro kills all the good bacteria. :) #travelskills		
348644040444637184					cipro	@bilgeebiri oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.		
348644040444637184	26	32	ADR	dreams	Robitussin	@bilgeebiri oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.	10004969	bizarre dreams
352217412046823425	84	98	ADR	tendon rupture	cipro	#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?	10043248	tendon rupture
332367377612279809					cymbalta	"@illtreaturite1 fluox a friend 4 years, but switch to cymbalta 4 anti-depress/pain control. i ocd worry. can't stop running mind"		
332367377612279809					cymbalta	"@illtreaturite1 fluox a friend 4 years, but switch to cymbalta 4 anti-depress/pain control. i ocd worry. can't stop running mind"		
332367377612279809					cymbalta	"@illtreaturite1 fluox a friend 4 years, but switch to cymbalta 4 anti-depress/pain control. i ocd worry. can't stop running mind"		
332368320881889280					cymbalta	@lanternlizard cymbalta switch is part of what made me flip. but any snri with family hx of mania puts you at risk.		
332457841749286913	102	112	ADR	withdrawal	cymbalta	"@enlightenmentor umm, are you being a smart-ass? dont mess with me right now. going through cymbalta withdrawal i think &amp; im very depressed."	10048010	withdrawal syndrome
341552558369800192	13	27	ADR	emotional mess	cymbalta	today i'm an emotional mess. that's what happens when i think i could wean myself off of cymbalta.	10049119	emotional distress
341555493409542144	17	29	ADR	not remember	cymbalta	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps	10027176	memory loss
341555493409542144	84	96	ADR	memory lapse	cymbalta	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps	10027174	memry impaired
341689297503662080	5	8	ADR	nap	cymbalta	that nap was on point.... cymbalta did that shit cuz i dont take naps...ever	10041349	somnolence
341767297649766400	71	82	ADR	psychedelic	cymbalta	@andiedanley2626 cymbalta. 3x the dosage i was once on...everything is psychedelic and yuck. still grateful for meds!	10070679	feeling stoned
354228220431843328	94	100	ADR	mashed	duloxetine	@santypas @scrabalisios i'm taking 700mg pregablin and 60 mg duloxetine hence why i'm totally mashed	10070679	feeling stoned
341602254975008768					effexor	"@autumnuh_beee i was on celexa, which made me sleepy. i switched to effexor. it has norepinephrine in it, so it jump starts me in the mornin"		
348458989924782081					enbrel	i feel so pill-ill again - decided to seriously cut down to just weekly enbrel and metho alongside daily nsaids #rheum.		
348897919748943872					enbrel	"rt @dratp: @lisabinkc @trainingwithra @dsymons enbrel also available as prefilled syringe, much gentler. pen leaves bruises! #rheum"		
332556333704413184	66	77	ADR	space cadet	fluoxetine	note to self: do not take #fluoxetine and #aleved together. i'm a space cadet today!  #druginteractions	10041374	spaced out
341311579536650240	39	52	ADR	illness worse	fluoxetine	"i'm sure this fluoxetine is making my illness worse, especially since i can't eat.."	10021345	ill feeling
341311579536650240	73	82	ADR	can't eat	fluoxetine	"i'm sure this fluoxetine is making my illness worse, especially since i can't eat.."	10003030	appetite suppressed
346613977549258752					fluoxetine	i have some seriously disturbing dreams. thanks #fluoxetine thanks a freaking lot. well i guess it's better than being #suicidal ..only just		
353079130692124672	30	38	ADR	allergic	fluoxetine	"rt @ianibbo: finding out i'm allergic to fluoxetine was a bit of a shock tho. mind, only someone from yorkshire could be actually allergic �"	10013661	drug allergy
336988171973824512	127	138	ADR	withdrawals	geodon	i took 11 pills of geodon i was rushed to the hospital they had to stick a tube up my nose ugh never again i feel so bad today withdrawals.	10048010	withdrawal syndrome
340627449496887296	41	47	ADR	hungry	geodon	so the geodon is what made me so frickin hungry all the time cause i've eaten very little these past few days.	10016336	feeling hungry
349250599373639681					geodon	"will still be on the geodon, but will also be taking a low-dose alprazolam as needed for the sudden anxiety attacks ive been getting"		
342138828087234560	119	125	ADR	nerves	humira	"@crohnietweets i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms"	10029177	nerve damage
342138828087234560	126	139	ADR	muscle spasms	humira	"@crohnietweets i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms"	10028334	muscle spasms
342138828087234560					humira	"@crohnietweets i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms"		
342685104725966848					humira	@showbizmom48 mri showed lesions in my noggin :s got to have eeg to see if its ms or humira doing it.so more tests n messing about lolxx		
344346660530434048	104	114	ADR	joint pain	humira	@thestomabaglady it was explained to me that all the anti-tnfs can bring out other issues. i had severe joint pain on humira &amp; remicaid	10023222	joint pain
344942366387494912	123	140	ADR	painful reactions	humira	@renegade_snare @ibdtweet i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions	10033371	pain
344942366387494912	61	68	ADR	fistula	humira	@renegade_snare @ibdtweet i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions	10016717	fistula
346087419424169984	114	118	ADR	achy	humira	"the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rheum"	10000424	ache
346087419424169984					humira	"the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rheum"		
346087419424169984	99	106	ADR	fatigue	humira	"the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rheum"	10016256	fatigue
