362618622817992704	381095860	0	@cycleluvsk @rheumatics @terezhumphrey @djuba52 cant take boniva because of ulcers, that is why reclast
398471183143665664	335950885	0	bayer files for eu approval of eylea for diabetic macular edema
448123681344978944	377648571	0	accidentally took my adderall this morning instead of my allergy medicine... today will be interesting😳
439288872522874881	582157327	0	latuda : medication or some form of juicy flatulence?
449401753004670976	1641165540	0	@princesswhome lol i swear all the teachers use to be like one person you don't mess with in this school is lyrica lmao miss you boo !
393318947388268545	92219465	0	if death had a taste, it would be saphris
400297182432993280	281403039	0	effient workmates, where are they?
449585852549578753	16070316	0	gov dayton just compared medical marijuana and need for protocols to thalidomide crisis.
446771382819368960	145447909	0	911 emergency yes i need a 30mg prescription of adderall plz n thnxs
456701427620909056	96288119	0	@buddhacanvas p.s. am on samples of pristiq at the moment, but there may be insurance probs with that, too--so ty for drug idea.
458951946871660544	2362578853	0	i was finally able to take temazepam and i'm so excited to finally sleep   i'm so tired i could cry only i'm too tired to cry
447425901106454528	105861927	0	@glendadean oh no, so many have that fibromyalgia. lyrica seems to be a good nerve pain rx
355760223044124672	261315861	0	@jchampp true. like my once a day xarelto
439906210163093504	198928899	0	#westernaf @omwazni: apixaban superior to warfarin in terms of mortality, stroke and bleeding
457873807181901824	47769446	0	some people on my feed need jesus... or geodon and a mood stabilizer... and possibly some ativan
458307581199413248	1430782507	0	@bhamby217 : if you think latuda is right for you, contact your doctor.
372653852379459584	231592772	0	a door opened and banged shut and there was silence. order boniva without prescription buy advair diskus no…
385520399444086784	193580859	0	@hernandezjustin i was thinking boniva and metamucil
445752806218027008	323528081	0	omg. this victoza commercial isnt appealing to anyone with type 2 diabetes. the whole commercial is about side effects and abnormal symptoms
349353248517406721	482662878	0	victoza is insulin used by diabetics.... you eat like paula you get diabetes like paula...
458739705752731648	433707620	0	these eliquis commercials are the worst things on tv.  just awful. written by 6 year olds.
467044733316247552	430160493	0	thankfully my nan turned down the thalidomide pill in the 60's
